Source,Target,weight
Emrick,Jeyne Poole,1
Emrick,Jaime Lannister,1
Emrick,Halleck,1
Emmett,Varamyr,1
Emmett,Tyrion Lannister,1
Emmett,Tormund,1
Emmett,Theon Greyjoy,1
Emmett,Randyll Tarly,1
Emmett,Pate (ranger),1
Emmett,Othell Yarwyck,1
Emmett,Mully,1
Fletcher Dick,Harsley,1
Fletcher Dick,Jon Snow,1
Emmett,Lancel Lannister,1
Gendry,Samwell Tarly,1
Gevin Harlaw,Theon Greyjoy,1
Gevin Harlaw,Stygg,1
Gevin Harlaw,Sansa Stark,1
Gevin Harlaw,Samwell Tarly,1
Gevin Harlaw,Osha,1
Gevin Harlaw,Jon Snow,1
Gevin Harlaw,Harrag Sharp,1
Gendry,Yoren,1
Gendry,Victarion Greyjoy,1
Gendry,Tyrion Lannister,1
Gendry,Theon Greyjoy,1
Gendry,Stannis Baratheon,1
Gendry,Shagwell,1
Gendry,Pylos,1
Fletcher Dick,Merrett Frey,1
Gendry,Podrick Payne,1
Gendry,Pia,1
Gendry,Patchface,1
Gendry,Nymeria Sand,1
Gendry,Lommy Greenhands,1
Gendry,Jon Snow,1
Gendry,Jaime Lannister,1
Gendry,High Sparrow,1
Fletcher Dick,Tyrion Lannister,1
Fletcher Dick,Stannis Baratheon,1
Fletcher Dick,Sansa Stark,1
Fletcher Dick,Samwell Tarly,1
Fletcher Dick,Qyburn,1
Emmett,Melisandre,1
Emmett,Kedge Whiteye,1
Jaime Lannister,Lancel Lannister,1
Drogo,Tyrion Lannister,1
Edmure Tully,Jaime Lannister,1
Edmure Tully,Ilyn Payne,1
Eddard Stark,Viserys Targaryen,1
Eddard Stark,Todder,1
Eddard Stark,Samwell Tarly,1
Eddard Stark,Pypar,1
Eddard Stark,Mya Stone,1
Eddard Stark,Merrett Frey,1
Eddard Stark,Matthar,1
Eddard Stark,Joss Stilwood,1
Eddard Stark,Jaremy Rykker,1
Drogo,Yezzan zo Qaggaz,1
Drogo,Victarion Greyjoy,1
Drogo,Tybero Istarion,1
Edmure Tully,Obara Sand,1
Drogo,Snatch,1
Drogo,Randyll Tarly,1
Drogo,Penny,1
Drogo,Oppo,1
Drogo,Moqorro,1
Drogo,Melisandre,1
Drogo,Mary Mertyns,1
Drogo,Mance Rayder,1
Drogo,Kevan Lannister,1
Drogo,Kasporio,1
Drogo,Jon Connington,1
Drogo,Jaime Lannister,1
Drogo,Illyrio Mopatis,1
Edmure Tully,Lyle Crakehall,1
Edmure Tully,Philip Plumm,1
Emmett,Jon Snow,1
Ellaria Sand,Leonette Fossoway,1
Emmett,Jeyne Poole,1
Emmett,Jaime Lannister,1
Emmett,Halleck,1
Emmett,Emrick,1
Ellaria Sand,Varys,1
Ellaria Sand,Tommen Baratheon,1
Ellaria Sand,Samwell Tarly,1
Ellaria Sand,Ryman Frey,1
Ellaria Sand,Robert Arryn,1
Ellaria Sand,Robb Stark,1
Ellaria Sand,Quentyn Martell,1
Ellaria Sand,Podrick Payne,1
Ellaria Sand,Marissa Frey,1
Ellaria Sand,Joffrey Baratheon,1
Edmure Tully,Rennifer Longwaters,1
Edric Storm,Tyrion Lannister,1
Edric Storm,Tanda Stokeworth,1
Edric Storm,Sansa Stark,1
Edric Storm,Salladhor Saan,1
Edric Storm,Petyr Baelish,1
Edric Storm,Jon Snow,1
Edric Storm,Joanna Lannister,1
Edric Storm,Jaime Lannister,1
Edmure Tully,Wylis Manderly,1
Edmure Tully,Tytos Brax,1
Edmure Tully,Shagwell,1
Edmure Tully,Sansa Stark,1
Edmure Tully,Samwell Tarly,1
Gevin Harlaw,Tyrion Lannister,1
Gevin Harlaw,Urzen,1
Gilly,Jaime Lannister,1
Hugo Wull,Tyrion Lannister,1
Illyrio Mopatis,Snatch,1
Illyrio Mopatis,Randyll Tarly,1
Illyrio Mopatis,Penny,1
Illyrio Mopatis,Oppo,1
Illyrio Mopatis,Moqorro,1
Illyrio Mopatis,Melisandre,1
Illyrio Mopatis,Mary Mertyns,1
Illyrio Mopatis,Mance Rayder,1
Illyrio Mopatis,Kevan Lannister,1
Illyrio Mopatis,Kasporio,1
Illyrio Mopatis,Jon Connington,1
Illyrio Mopatis,Jaime Lannister,1
Hugo Wull,Victarion Greyjoy,1
Hugo Wull,Theon Greyjoy,1
Illyrio Mopatis,Tyrion Lannister,1
Hugo Wull,Melisandre,1
Hugo Wull,Jon Snow,1
Hugo Wull,Jaime Lannister,1
Horton Redfort,Yohn Royce,1
Horton Redfort,Sansa Stark,1
Horton Redfort,Samwell Tarly,1
Horton Redfort,Myranda Royce,1
Horton Redfort,Mya Stone,1
Horton Redfort,Maegor I Targaryen,1
Horton Redfort,Jaime Lannister,1
High Sparrow,Victarion Greyjoy,1
High Sparrow,Shagwell,1
High Sparrow,Sansa Stark,1
Illyrio Mopatis,Tybero Istarion,1
Illyrio Mopatis,Victarion Greyjoy,1
Gilly,Merrett Frey,1
Jacelyn Bywater,Preston Greenfield,1
Jaime Lannister,Kegs,1
Jaime Lannister,Kedge Whiteye,1
Jaime Lannister,Kasporio,1
Jaime Lannister,Jonos Bracken,1
Jaime Lannister,Jocelyn Swyft,1
Jaime Lannister,Joanna Lannister,1
Jaime Lannister,Jeyne Westerling,1
Jaime Lannister,Jeyne Poole,1
Jaime Lannister,Janos Slynt,1
Jacelyn Bywater,Tyrion Lannister,1
Jacelyn Bywater,Timett,1
Jacelyn Bywater,Theon Greyjoy,1
Jacelyn Bywater,Sansa Stark,1
Jacelyn Bywater,Podrick Payne,1
